version,buildingId,x,y,floor,mx,my,mz,my_bias,mx_bias,mz_uncalib,mz_bias,my_uncalib,mx_uncalib,uploaddAt
Line_1_top_left_down,e384f534f12c984588d8868e,35,5,0,52.332000732421875,-0.6340000033378601,52.823001861572266,-65.56300354003906,-16.07000160217285,-27.621002197265625,-80.44400024414062,-66.19700622558594,36.262001037597656,2024-06-17T11:29:30.910Z
Line_1_top_left_down,e384f534f12c984588d8868e,35,100,0,48.25400161743164,1.8410000801086426,46.80800247192383,-65.56200408935547,-16.07000160217285,-33.63600158691406,-80.44400024414062,-63.721004486083984,32.18400192260742,2024-06-17T11:29:30.910Z
Line_1_top_left_down,e384f534f12c984588d8868e,140,100,0,44.928001403808594,6.26900053024292,47.1670036315918,-65.56200408935547,-16.069000244140625,-34.2760009765625,-80.44400024414062,-58.958003997802734,28.4320011138916,2024-06-17T11:29:30.910Z
Line_1_top_left_down,e384f534f12c984588d8868e,210,100,0,40.9370002746582,16.5939998626709,50.89500427246094,-65.56200408935547,-16.07000160217285,-29.549001693725586,-80.44400024414062,-48.96800231933594,24.867000579833984,2024-06-17T11:29:30.910Z
Line_1_middle_extra,e384f534f12c984588d8868e,425,15,0,43.910003662109375,13.075000762939453,50.499000549316406,-65.56200408935547,-16.069000244140625,-28.530000686645508,-80.44400024414062,-52.40800094604492,27.090002059936523,2024-06-17T11:31:45.623Z
Line_2_ramp_entrance,e384f534f12c984588d8868e,580,110,0,50.91200256347656,12.757000923156738,50.53700256347656,-65.56200408935547,-16.069000244140625,-29.290000915527344,-80.44400024414062,-51.99800109863281,33.03900146484375,2024-06-17T11:37:36.908Z
Line_2_ramp_entrance,e384f534f12c984588d8868e,670,110,0,44.345001220703125,12.094000816345215,49.22800064086914,-65.56200408935547,-16.07000160217285,-30.790000915527344,-80.44400024414062,-53.1510009765625,28.53900146484375,2024-06-17T11:37:36.908Z
Line_2_ramp_entrance,e384f534f12c984588d8868e,685,140,0,48.048004150390625,6.440000534057617,52.63600158691406,-65.56200408935547,-16.069000244140625,-27.808000564575195,-80.44400024414062,-59.12200164794922,31.979001998901367,2024-06-17T11:37:36.908Z
Line_2_ramp_entrance,e384f534f12c984588d8868e,750,140,0,40.4170036315918,12.19800090789795,54.34700393676758,-65.56200408935547,-16.069000244140625,-26.097002029418945,-80.44400024414062,-53.3640022277832,24.34800148010254,2024-06-17T11:37:36.908Z
Line_2_ramp_entrance,e384f534f12c984588d8868e,880,140,0,45.0150032043457,10.968000411987305,56.70700454711914,-65.56200408935547,-16.069000244140625,-23.737001419067383,-80.44400024414062,-54.59400177001953,28.946001052856445,2024-06-17T11:37:36.908Z
Line_2_ramp_entrance,e384f534f12c984588d8868e,880,100,0,44.75100326538086,10.719000816345215,48.73800277709961,-65.56200408935547,-16.069000244140625,-31.70600128173828,-80.44400024414062,-54.84300231933594,28.6820011138916,2024-06-17T11:37:36.908Z
Line_2_ramp_entrance,e384f534f12c984588d8868e,590,165,0,43.48800277709961,0.5070000290870667,50.888004302978516,-65.56200408935547,-16.069000244140625,-29.556001663208008,-80.44400024414062,-65.05500030517578,27.41900062561035,2024-06-17T11:37:36.908Z
Line_2_ramp_entrance,e384f534f12c984588d8868e,670,165,0,46.118003845214844,2.633000135421753,54.74800109863281,-65.56200408935547,-16.069000244140625,-26.043001174926758,-80.44400024414062,-62.50200271606445,29.641000747680664,2024-06-17T11:37:36.908Z
